# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland.Dendritic_cell...6      COVAR   12577     -0.19455    -0.018413      0.12751      0.93645 Mammary_Gland.Dendritic_cell_Siglech_high
Mammary_Gland.Dividing_cell           COVAR   12577     -0.13923    -0.020436      0.10386      0.90996 Mammary_Gland.Dividing_cell
Mammary_Gland.Ductal_luminal...       COVAR   12577     -0.22211     -0.01725      0.24305      0.81959 Mammary_Gland.Ductal_luminal_cell
Mammary_Gland.Endothelial_ce...1      COVAR   12577   -0.0049794   -0.0006519     0.085096      0.52333 Mammary_Gland.Endothelial_cell
Mammary_Gland.Endothelial_ce...2      COVAR   12577   -0.0080837  -0.00089758      0.10058      0.53203 Mammary_Gland.Endothelial_cell_Aqp1_high
Mammary_Gland.Endothelial_ce...4      COVAR   12577     -0.14107    -0.013182      0.12772      0.86531 Mammary_Gland.Endothelial_cell_Fabp4_high
Mammary_Gland.Endothelial_ce...3      COVAR   12577    -0.033339   -0.0043457     0.079164      0.66317 Mammary_Gland.Endothelial_cell_Fabp4.Aqp1_high
Mammary_Gland.Endothelial_ce...5      COVAR   12577     0.074269    0.0077461      0.10126      0.23164 Mammary_Gland.Endothelial_cell_Glycam1_high
Mammary_Gland.Luminal_cell            COVAR   12577    -0.078671   -0.0093453      0.12809      0.73045 Mammary_Gland.Luminal_cell
Mammary_Gland.Luminal_cell_K...       COVAR   12577    -0.049627   -0.0073216      0.10378      0.68374 Mammary_Gland.Luminal_cell_Krt19_high_
Mammary_Gland.Luminal_progen...       COVAR   12577      0.10344     0.014583      0.10191      0.15506 Mammary_Gland.Luminal_progenitor
